player_name,line,emp_prob_last_3,emp_prob_last_5,emp_prob_last_7,emp_prob_last_10
Connor Rozee,39.5,0,0,0,0
Conor Nash,9.5,1,1,1,1
Conor Nash,14.5,1,1,0.8571428571428571,0.7
Conor Nash,19.5,0.6666666666666666,0.6,0.5714285714285714,0.5
Conor Nash,24.5,0,0,0,0.1
Conor Nash,29.5,0,0,0,0
Cooper Lord,9.5,0.33333333333333337,0.6,0.5714285714285714,0.7
Cooper Lord,14.5,0.33333333333333337,0.6,0.42857142857142855,0.6
Cooper Lord,19.5,0,0,0,0.20000000000000004
Cooper Lord,24.5,0,0,0,0
Cooper Sharman,9.5,0.6666666666666666,0.6,0.7142857142857143,0.7
Cooper Sharman,10.5,0.33333333333333337,0.2,0.2857142857142857,0.4
Cooper Sharman,14.5,0,0,0,0
Cooper Sharman,19.5,0,0,0,0
Corey Durdin,9.5,0,0,0.14285714285714288,0.1
Corey Durdin,14.5,0,0,0,0
Dan Houston,9.5,1,0.8,0.8571428571428571,0.9
Dan Houston,14.5,0.6666666666666666,0.6,0.7142857142857143,0.7
Dan Houston,19.5,0,0,0.14285714285714288,0.1
Dan Houston,24.5,0,0,0,0
Dane Rampe,9.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Dane Rampe,14.5,0,0.2,0.14285714285714288,0.1
Dane Rampe,19.5,0,0,0,0
Daniel Curtin,9.5,1,0.8,0.8571428571428571,0.9
Daniel Curtin,14.5,1,0.8,0.5714285714285714,0.5
Daniel Curtin,19.5,1,0.8,0.5714285714285714,0.4
Daniel Curtin,24.5,0.33333333333333337,0.4,0.2857142857142857,0.2
Daniel Curtin,29.5,0,0,0,0
Daniel McStay,9.5,0.6666666666666666,0.8,0.7142857142857143,0.5
Daniel McStay,14.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Daniel McStay,19.5,0,0,0,0
