match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Sam Docherty,Carlton,119.5,5.5,BetRight,Melbourne Demons,Fantasy Points - Sam Docherty,47667742,120+ Fantasy Points,5,267814118
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Adam Cerra,Carlton,79.5,1.2,BetRight,Melbourne Demons,Fantasy Points - Adam Cerra,47667743,80+ Fantasy Points,1,267814119
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Adam Cerra,Carlton,89.5,1.4,BetRight,Melbourne Demons,Fantasy Points - Adam Cerra,47667743,90+ Fantasy Points,2,267814120
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Adam Cerra,Carlton,99.5,1.8,BetRight,Melbourne Demons,Fantasy Points - Adam Cerra,47667743,100+ Fantasy Points,3,267814121
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Adam Cerra,Carlton,109.5,2.35,BetRight,Melbourne Demons,Fantasy Points - Adam Cerra,47667743,110+ Fantasy Points,4,267814122
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Adam Cerra,Carlton,119.5,4,BetRight,Melbourne Demons,Fantasy Points - Adam Cerra,47667743,120+ Fantasy Points,5,267814123
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,George Hewett,Carlton,79.5,1.1,BetRight,Melbourne Demons,Fantasy Points - George Hewett,47667745,80+ Fantasy Points,1,267814129
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,George Hewett,Carlton,89.5,1.25,BetRight,Melbourne Demons,Fantasy Points - George Hewett,47667745,90+ Fantasy Points,2,267814130
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,George Hewett,Carlton,99.5,1.6,BetRight,Melbourne Demons,Fantasy Points - George Hewett,47667745,100+ Fantasy Points,3,267814131
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,George Hewett,Carlton,109.5,2,BetRight,Melbourne Demons,Fantasy Points - George Hewett,47667745,110+ Fantasy Points,4,267814132
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,George Hewett,Carlton,119.5,3.25,BetRight,Melbourne Demons,Fantasy Points - George Hewett,47667745,120+ Fantasy Points,5,267814133
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Oliver Hollands,Carlton,79.5,1.6,BetRight,Melbourne Demons,Fantasy Points - Oliver Hollands,47667746,80+ Fantasy Points,1,267814134
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Oliver Hollands,Carlton,89.5,2.15,BetRight,Melbourne Demons,Fantasy Points - Oliver Hollands,47667746,90+ Fantasy Points,2,267814135
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Oliver Hollands,Carlton,99.5,3.25,BetRight,Melbourne Demons,Fantasy Points - Oliver Hollands,47667746,100+ Fantasy Points,3,267814136
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Oliver Hollands,Carlton,109.5,5,BetRight,Melbourne Demons,Fantasy Points - Oliver Hollands,47667746,110+ Fantasy Points,4,267814137
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Oliver Hollands,Carlton,119.5,11,BetRight,Melbourne Demons,Fantasy Points - Oliver Hollands,47667746,120+ Fantasy Points,5,267814138
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Max Gawn,Melbourne Demons,79.5,1.03,BetRight,Carlton,Fantasy Points - Max Gawn,47667747,80+ Fantasy Points,1,267814139
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Max Gawn,Melbourne Demons,89.5,1.1,BetRight,Carlton,Fantasy Points - Max Gawn,47667747,90+ Fantasy Points,2,267814140
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Max Gawn,Melbourne Demons,99.5,1.3,BetRight,Carlton,Fantasy Points - Max Gawn,47667747,100+ Fantasy Points,3,267814141
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Max Gawn,Melbourne Demons,109.5,1.6,BetRight,Carlton,Fantasy Points - Max Gawn,47667747,110+ Fantasy Points,4,267814142
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Max Gawn,Melbourne Demons,119.5,2.05,BetRight,Carlton,Fantasy Points - Max Gawn,47667747,120+ Fantasy Points,5,267814143
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Clayton Oliver,Melbourne Demons,79.5,1.3,BetRight,Carlton,Fantasy Points - Clayton Oliver,47667748,80+ Fantasy Points,1,267814144
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Clayton Oliver,Melbourne Demons,89.5,1.6,BetRight,Carlton,Fantasy Points - Clayton Oliver,47667748,90+ Fantasy Points,2,267814145
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Clayton Oliver,Melbourne Demons,99.5,2.1,BetRight,Carlton,Fantasy Points - Clayton Oliver,47667748,100+ Fantasy Points,3,267814146
