player_full_name,position
Matthew Johnson,MIDFIELDER
Patrick Voss,KEY_FORWARD
Jack Delean,MEDIUM_FORWARD
Neil Erasmus,MIDFIELDER
Jye Amiss,KEY_FORWARD
Joshua Draper,KEY_DEFENDER
Karl Worner,MEDIUM_DEFENDER
Hugh Davies,KEY_DEFENDER
Jaren Carr,MEDIUM_DEFENDER
Liam Reidy,RUCK
Charlie Nicholls,KEY_FORWARD
Cooper Simpson,MEDIUM_DEFENDER
Ollie Murphy,KEY_DEFENDER
Aiden Riddle,KEY_FORWARD
Odin Jones,KEY_FORWARD
Murphy Reid,MEDIUM_FORWARD
Michael Walters,MEDIUM_FORWARD
Nat Fyfe,MIDFIELDER
Jaeger O'Meara,MIDFIELDER
James Aish,MEDIUM_DEFENDER
Alex Pearce,KEY_DEFENDER
Sam Switkowski,MEDIUM_FORWARD
Oscar McDonald,KEY_FORWARD
Corey Wagner,MEDIUM_DEFENDER
Shai Bolton,MIDFIELDER_FORWARD
Brennan Cox,KEY_DEFENDER
Will Brodie,MIDFIELDER
Sean Darcy,RUCK
Bailey Banfield,MEDIUM_FORWARD
Luke Ryan,MEDIUM_DEFENDER
Michael Frederick,MEDIUM_FORWARD
Quinton Narkle,MEDIUM_FORWARD
Brent Daniels,MEDIUM_FORWARD
Jacob Wehr,MIDFIELDER
Sam Taylor,KEY_DEFENDER
Xavier O'Halloran,MIDFIELDER_FORWARD
Connor Idun,MEDIUM_DEFENDER
Jake Riccardi,KEY_FORWARD
Toby Bedford,MIDFIELDER
Kieren Briggs,RUCK
Leek Aleer,KEY_DEFENDER
Lachie Ash,MEDIUM_DEFENDER
Tom Green,MIDFIELDER
Jack Buckley,KEY_DEFENDER
Callum M. Brown,MEDIUM_FORWARD
Ryan Angwin,MIDFIELDER
Conor Stone,MEDIUM_DEFENDER
Wade Derksen,KEY_DEFENDER
Josh Fahey,MEDIUM_DEFENDER
Aaron Cadman,KEY_FORWARD
Darcy Jones,MEDIUM_FORWARD
Harry Rowston,MEDIUM_FORWARD
Finn Callaghan,MIDFIELDER
Nicholas Madden,RUCK
Max Gruzewski,KEY_FORWARD
Harvey Thomas,MEDIUM_FORWARD
Toby McMullin,MIDFIELDER
Oliver Hannaford,MEDIUM_FORWARD
Jack Ough,MIDFIELDER
Harrison Oliver,MEDIUM_DEFENDER
Josaia Delana,MEDIUM_FORWARD
Phoenix Gothard,MEDIUM_FORWARD
James Leake,MIDFIELDER_FORWARD
Logan Smith,RUCK
Cody Angove,MEDIUM_FORWARD
Joe Fonti,MEDIUM_DEFENDER
Nathan Wardius,MEDIUM_FORWARD
Callan Ward,MIDFIELDER
Lachlan Keeffe,RUCK
Stephen Coniglio,MIDFIELDER_FORWARD
Jake Stringer,MEDIUM_FORWARD
Lachie Whitfield,MEDIUM_DEFENDER
Toby Greene,MEDIUM_FORWARD
Jesse Hogan,KEY_FORWARD
Josh Kelly,MIDFIELDER
Harry Himmelberg,MEDIUM_DEFENDER
Noah Balta,KEY_DEFENDER
Ben Miller,KEY_DEFENDER
Jacob Koschitzke,KEY_DEFENDER
Jack Ross,MIDFIELDER_FORWARD
Rhyan Mansell,MEDIUM_FORWARD
Mykelti Lefau,KEY_FORWARD
Thomson Dow,MIDFIELDER
Maurice Rioli,MEDIUM_FORWARD
Hugo Ralphsmith,MIDFIELDER
Samson Ryan,RUCK
Sam Banks,MEDIUM_DEFENDER
Jacob Blight,KEY_DEFENDER
Judson Clarke,MEDIUM_DEFENDER
Josh Gibcus,KEY_DEFENDER
Tom Brown,MEDIUM_DEFENDER
Tyler Sonsie,MIDFIELDER_FORWARD
Tylar Young,KEY_DEFENDER
Thomas Sims,KEY_FORWARD
Kane McAuliffe,MIDFIELDER
Jacob Bauer,KEY_FORWARD
Mate Colina,RUCK
Liam Fawcett,KEY_FORWARD
Kaleb Smith,MEDIUM_DEFENDER
Steely Green,MEDIUM_FORWARD
Seth Campbell,MEDIUM_FORWARD
Sam Lalor,MEDIUM_FORWARD
Jonty Faull,KEY_FORWARD
Luke Trainor,MEDIUM_DEFENDER
Harry Armstrong,KEY_FORWARD
Jasper Alger,MEDIUM_FORWARD
Josh Smillie,MIDFIELDER
James Trezise,MIDFIELDER
Taj Hotton,MIDFIELDER_FORWARD
Oliver Hayes-Brown,RUCK
Campbell Gray,KEY_DEFENDER
Dion Prestia,MIDFIELDER
Tom Lynch,KEY_FORWARD
